Btop,Bjungle,Bmid,Bbot,Bsupport,Rtop,Rjungle,Rmid,Rbot,Rsupport,Bwin
16,63,83,46,42,93,36,2,27,75,0
16,57,83,27,101,45,36,53,65,85,0
44,139,113,7,50,16,61,24,27,85,0
101,61,2,46,3,16,79,141,8,114,1
122,25,101,73,114,58,79,52,140,35,0
144,36,148,27,103,2,41,80,124,90,0
85,36,31,115,101,2,139,123,27,62,0
66,63,65,48,119,136,57,105,27,42,0
93,36,24,46,101,32,61,83,7,42,0
45,36,31,7,11,84,61,148,100,87,0
31,79,40,98,117,52,61,84,128,42,0
55,63,141,98,90,44,139,123,100,3,1
103,36,53,65,85,40,61,69,46,35,0
84,115,40,100,85,0,79,148,72,103,0
16,63,65,46,87,93,92,83,15,119,0
29,54,105,137,42,16,63,145,140,11,0
65,57,31,100,101,68,51,116,27,85,0
20,37,83,8,101,94,25,88,46,87,1
136,36,24,8,85,65,37,83,27,87,1
44,37,112,128,66,16,79,38,27,143,0
122,139,24,15,67,93,63,116,46,87,0
45,79,44,100,62,16,36,66,46,87,0
105,61,83,15,119,66,43,17,72,101,1
29,51,27,101,85,16,36,123,48,62,0
2,36,55,8,67,40,79,73,46,119,0
2,63,141,8,14,86,112,65,100,101,0
16,57,31,7,110,29,36,148,27,50,0
44,61,83,100,85,65,36,2,46,119,1
70,79,113,8,50,44,36,24,15,11,0
103,63,116,27,11,45,79,2,8,87,0
103,57,97,46,87,93,63,141,7,119,1
45,63,31,46,119,86,36,112,8,101,1
141,61,83,8,87,16,37,31,46,11,1
55,61,83,46,85,16,92,112,100,114,1
66,37,31,8,11,112,63,65,124,90,0
16,63,65,27,62,0,61,148,100,11,1
45,26,141,27,11,29,63,16,48,77,1
93,24,112,48,87,134,61,17,46,90,1
29,63,93,46,3,16,61,2,100,35,1
40,24,45,50,110,68,51,116,8,85,0
29,28,19,100,114,93,36,31,7,101,1
89,115,101,98,87,93,37,112,27,35,1
93,82,112,27,77,94,81,83,8,119,1
2,24,141,65,16,44,79,123,46,101,0
141,36,31,48,3,16,63,105,94,85,0
103,61,113,124,90,70,36,123,8,62,0
44,51,116,8,119,16,36,31,100,114,0
86,79,40,8,87,16,36,148,27,101,1
16,63,123,27,87,2,37,144,100,101,0
93,61,132,27,87,16,79,65,46,90,1
2,63,83,46,101,29,36,148,100,90,0
73,79,45,27,11,70,63,85,8,119,0
93,36,31,27,50,0,139,112,48,3,1
38,26,88,7,62,136,36,112,72,85,0
16,61,31,27,66,40,36,113,137,90,0
2,36,53,65,101,134,25,85,49,119,0
52,112,134,46,119,93,51,83,15,74,0
123,92,93,65,42,134,61,144,115,3,0
37,51,40,46,62,134,36,2,27,3,0
16,134,2,46,77,44,79,101,27,62,0
45,57,2,46,3,66,82,31,48,87,0
97,36,83,72,16,2,79,93,46,85,1
134,63,65,46,11,2,36,148,100,77,0
2,36,112,15,101,134,24,83,124,90,1
16,57,123,65,103,66,36,113,46,62,0
16,36,83,100,117,44,24,2,27,101,1
16,24,116,46,11,44,104,93,100,117,1
27,36,17,2,50,29,139,112,8,66,0
45,36,123,48,12,40,24,146,7,119,0
27,79,29,65,143,16,36,113,8,77,0
2,57,140,46,117,103,36,31,65,85,0
16,57,31,7,110,29,36,148,27,50,1
45,24,112,48,85,44,51,116,46,62,0
136,51,112,27,103,0,57,148,120,85,1
2,61,112,46,114,16,63,31,27,87,0
16,24,45,115,42,29,79,141,65,62,0
134,61,112,46,50,93,36,60,27,87,0
113,36,70,72,103,17,61,112,46,42,0
66,139,112,7,143,97,36,83,100,110,0
84,36,83,101,67,112,61,31,98,62,0
16,51,116,48,85,44,139,112,72,66,1
44,61,113,98,85,32,92,145,17,16,0
93,63,40,46,85,29,28,2,100,114,0
93,61,112,46,67,126,79,141,100,62,0
45,25,10,23,85,16,51,93,27,14,0
93,36,112,7,14,32,61,2,8,42,0
70,79,16,7,119,134,36,31,27,117,0
93,79,83,27,3,55,36,112,100,101,1
93,36,105,100,119,142,24,116,8,62,0
65,25,112,49,119,93,51,101,127,14,0
125,63,53,7,62,93,28,65,46,101,0
94,63,116,146,87,93,36,148,8,62,0
103,61,112,65,101,44,36,148,38,87,0
16,63,83,46,42,93,36,2,27,75,1
16,134,31,46,110,34,79,93,15,42,1
44,36,83,46,11,16,63,141,8,101,1
112,36,145,8,12,44,139,24,47,119,1
29,61,148,124,117,103,36,52,46,90,0
86,28,116,8,101,16,36,112,100,114,1
68,51,141,98,62,93,61,31,100,77,1
68,36,83,48,3,112,37,81,46,85,0
93,36,24,46,101,32,61,83,7,42,0
16,63,45,46,110,134,36,31,27,62,1
103,79,65,46,114,16,36,123,100,101,0
44,92,123,100,85,16,63,97,8,3,1
16,36,112,46,101,44,139,83,8,62,0
45,115,2,46,85,136,28,40,15,101,0
134,36,113,15,74,93,63,112,72,62,1
101,63,140,27,85,16,26,123,7,77,0
55,101,132,65,90,16,43,2,27,42,0
84,36,31,100,117,93,63,116,27,62,1
134,37,2,100,101,32,63,141,120,117,1
16,25,123,46,3,44,79,141,7,42,1
94,37,2,46,85,32,79,40,27,90,0
86,94,65,146,101,20,79,141,8,119,1
117,57,112,8,85,65,63,66,15,67,0
93,139,2,46,42,29,36,31,7,101,1
66,61,2,27,143,133,36,31,15,11,0
93,63,101,27,85,65,28,16,46,35,1
16,36,148,72,138,134,61,83,27,62,1
65,61,148,27,90,86,51,32,7,11,0
16,63,2,72,50,66,36,17,46,77,0
2,63,141,8,14,86,112,65,100,101,0
44,51,31,98,117,16,61,105,100,85,0
85,35,83,46,74,45,36,2,8,62,0
93,63,88,100,3,32,79,112,46,42,0
66,57,148,27,117,16,36,31,100,110,0
93,36,112,46,62,16,79,44,100,85,1
141,25,101,46,103,93,36,112,124,90,1
16,36,52,100,11,134,79,32,8,119,0
65,25,93,8,85,68,36,96,72,16,0
45,115,123,8,119,84,36,2,27,101,0
45,36,115,100,14,40,57,31,8,90,0
134,51,88,48,3,2,139,66,27,77,1
66,36,140,100,14,65,101,83,8,85,0
49,36,66,140,117,45,139,112,48,77,0
125,36,112,46,11,16,51,2,7,42,0
16,36,52,27,117,126,79,31,128,101,1
134,139,81,140,11,93,36,60,46,100,1
96,79,141,49,101,94,57,146,81,87,0
29,43,21,27,114,16,61,123,46,85,1
55,63,141,98,90,44,139,123,100,3,0
37,36,78,8,117,93,57,31,46,90,0
16,79,88,46,77,2,61,112,48,101,1
66,79,140,48,101,65,61,113,46,3,1
66,57,88,8,85,116,63,52,46,50,0
2,134,65,8,42,112,79,40,46,101,1
44,139,31,46,117,55,37,83,27,85,1
55,63,65,46,11,134,139,112,27,119,0
45,61,112,8,101,16,36,27,123,50,0
134,112,65,49,16,93,99,40,100,66,1
40,92,113,27,11,66,61,83,49,119,1
66,57,148,8,90,112,36,65,27,11,0
93,36,51,100,3,103,63,141,8,50,0
88,51,40,100,85,29,63,45,8,114,1
93,36,112,8,3,134,57,83,46,101,0
38,37,148,124,66,10,61,65,98,117,0
16,25,123,46,3,44,79,141,7,42,0
44,79,141,46,101,16,63,83,127,117,0
134,63,140,46,85,84,139,83,8,101,1
16,63,141,46,62,53,36,123,124,90,0
66,79,40,48,77,93,139,112,100,101,0
94,36,24,47,101,136,61,83,8,119,0
16,79,105,15,74,55,57,97,8,85,0
65,36,73,100,3,94,63,81,27,101,0
45,37,148,27,3,65,63,16,48,85,1
54,63,2,100,77,144,36,65,8,11,0
45,61,21,8,66,16,79,88,111,87,0
0,94,101,146,70,100,25,31,16,11,1
29,61,123,46,11,45,79,116,48,77,0
94,57,30,47,42,40,79,112,27,62,1
16,36,83,27,110,68,61,132,46,11,1
134,63,65,46,11,2,36,148,100,77,1
93,139,112,48,62,2,36,73,100,77,0
44,79,65,27,77,45,36,123,100,50,1
2,36,31,8,50,66,57,113,100,85,0
101,24,84,46,90,0,79,116,15,74,0
94,61,123,120,117,93,36,2,100,101,0
16,36,2,46,77,29,134,123,27,3,1
45,26,141,27,11,29,63,16,48,77,0
16,51,64,48,119,73,79,88,72,3,0
141,79,112,47,74,134,36,31,15,119,0
65,79,103,46,85,32,94,50,146,101,0
27,36,84,38,62,16,134,31,46,42,0
45,36,31,27,77,65,25,93,48,35,1
134,79,112,100,11,93,63,141,27,119,1
112,134,148,46,42,16,37,31,65,3,0
103,79,65,46,114,16,36,123,100,101,1
101,51,112,124,117,70,37,83,140,35,1
40,37,112,27,143,16,54,31,48,3,0
55,134,52,46,85,101,37,60,15,11,0
44,57,112,15,119,96,36,116,100,50,1
94,63,81,15,11,16,37,31,120,90,0
45,36,31,46,3,16,81,148,8,119,1
66,61,93,46,62,32,63,2,8,3,0
45,24,112,48,85,44,51,116,46,62,0
112,36,2,46,85,55,24,101,100,77,0
45,63,145,46,85,16,43,83,15,77,0
101,63,65,98,42,94,37,81,27,119,1
68,36,83,124,90,136,57,112,27,87,1
93,57,83,15,74,134,36,123,46,11,0
84,92,148,46,85,93,51,141,100,101,0
103,37,97,8,62,112,61,113,48,77,0
16,57,2,15,67,93,79,112,27,50,0
97,134,64,46,85,66,36,53,8,119,0
16,139,113,46,66,93,51,65,100,117,0
45,79,52,46,11,16,134,31,8,119,0
66,37,31,8,11,112,63,65,124,90,0
66,57,83,7,62,40,63,101,48,77,0
93,82,112,27,77,94,81,83,8,119,0
94,61,81,8,62,45,63,101,15,74,0
29,28,19,100,114,93,36,31,7,101,0
16,51,116,48,85,44,139,112,72,66,1
93,61,123,100,90,16,36,31,46,85,0
66,36,31,48,35,112,79,40,46,85,0
16,134,31,46,110,34,79,93,15,42,0
16,79,141,46,85,53,37,116,27,117,0
134,36,148,46,11,93,79,52,100,114,1
66,79,65,46,3,45,36,112,100,35,0
94,61,123,120,117,93,36,2,100,101,0
40,51,93,8,114,32,134,83,48,85,1
29,134,112,65,42,49,25,16,8,3,0
37,36,78,8,117,93,57,31,46,90,0
93,51,148,48,77,45,63,2,27,62,0
134,37,2,100,101,32,63,141,120,117,0
44,54,83,8,117,136,37,24,46,85,1
101,63,65,98,42,94,37,81,27,119,0
73,63,93,48,85,96,37,140,8,62,0
2,57,83,120,117,93,36,123,49,119,0
44,24,145,72,50,86,79,88,8,42,0
93,24,65,100,42,34,63,40,8,101,1
44,36,105,46,62,2,61,112,8,85,1
86,79,101,124,90,16,36,123,49,77,0
112,37,81,46,85,133,134,123,128,62,0
17,36,123,120,101,55,79,65,27,143,0
29,92,112,8,67,16,61,17,100,114,0
103,51,52,27,101,44,24,93,128,144,1
141,25,101,46,103,93,36,112,124,90,0
16,61,53,8,14,20,36,2,46,62,0
68,36,52,49,119,136,79,31,8,14,0
94,61,123,120,117,93,36,2,100,101,1
45,25,123,8,101,112,37,81,46,85,1
16,51,81,98,62,29,139,2,100,119,0
70,36,2,98,62,16,61,83,115,85,0
101,36,112,115,85,16,63,0,120,117,0
112,51,116,124,90,45,54,66,98,3,1
134,36,83,8,42,93,79,2,49,119,1
89,79,113,8,103,93,36,112,100,101,1
126,61,64,7,62,16,134,2,8,119,0
112,79,16,27,3,52,36,2,48,101,0
40,51,93,8,114,32,134,83,48,85,0
84,36,2,27,87,123,139,115,65,101,0
45,36,115,100,14,40,57,31,8,90,0
93,54,31,27,85,16,115,141,48,101,1
93,79,40,8,77,32,139,83,124,90,1
115,36,66,140,101,70,57,2,65,14,0
0,79,116,140,117,134,63,112,27,103,0
84,36,113,46,119,134,79,45,124,90,0
94,63,81,15,11,16,37,31,120,90,0
96,43,31,46,85,66,37,148,15,14,1
134,57,111,81,85,112,36,44,100,101,0
134,139,148,48,85,96,36,83,27,14,0
65,57,40,27,31,105,36,141,94,41,0
45,79,116,48,85,40,61,65,8,103,1
16,24,45,115,42,29,79,141,65,62,1
126,57,17,100,103,46,25,81,65,85,1
16,36,123,7,119,101,61,83,46,62,1
55,36,148,8,77,16,57,31,100,14,0
2,36,112,15,101,134,24,83,124,90,1
68,36,52,49,119,136,79,31,8,14,1
16,61,112,65,87,45,51,145,115,101,0
44,81,66,8,90,50,36,148,100,119,0
68,134,2,98,85,16,112,144,100,114,1
66,79,40,48,77,93,139,112,100,101,1
65,139,144,8,3,29,51,112,46,85,0
93,36,52,8,101,89,79,123,15,74,0
2,104,145,100,117,116,112,65,27,42,0
45,36,112,15,74,16,61,31,46,87,0
2,57,83,120,117,93,36,123,49,119,1
94,51,81,98,3,66,25,65,124,90,0
93,36,83,115,3,16,35,123,8,85,1
70,79,113,8,50,44,36,24,15,11,0
50,79,88,137,90,2,139,65,128,3,1
16,24,88,27,11,93,36,96,72,42,0
29,61,31,100,101,2,92,53,27,85,1
66,61,44,124,90,16,63,112,27,3,0
134,36,83,8,42,93,79,2,49,119,0
134,24,30,46,11,32,79,93,49,119,1
27,24,93,65,42,134,51,145,46,101,0
66,37,31,8,11,112,63,65,124,90,0
16,57,2,15,67,93,79,112,27,50,0
16,79,88,46,77,93,61,123,145,100,0
44,79,65,27,77,45,36,123,100,50,1
32,51,52,46,119,112,37,65,27,101,1
66,57,148,8,11,40,101,31,27,50,0
112,63,93,98,3,89,36,113,124,117,0
84,63,16,27,101,112,139,93,65,143,0
101,36,112,115,85,16,63,0,120,117,0
94,139,81,49,119,16,36,17,8,114,0
29,25,65,27,114,126,139,83,46,77,0
103,63,116,27,11,45,79,2,8,87,0
2,139,112,98,62,93,79,88,48,101,0
136,54,112,137,90,32,36,17,8,42,0
86,79,40,8,87,16,36,148,27,101,0
44,79,88,115,3,2,36,148,8,114,0
27,79,29,65,143,16,36,113,8,77,0
2,61,83,98,3,16,139,113,27,77,0
134,35,30,65,87,66,36,83,46,42,1
45,36,31,27,77,65,25,93,48,35,0
134,37,2,100,101,32,63,141,120,117,0
65,94,112,146,101,68,36,17,100,3,0
29,134,112,7,50,16,61,83,46,101,1
44,61,112,137,28,16,36,31,27,42,0
134,37,123,8,42,32,51,112,27,143,0
70,57,105,8,85,32,79,65,100,90,0
101,36,55,46,85,82,57,112,115,117,0
2,36,83,27,77,16,79,40,17,101,0
101,51,112,124,117,70,37,83,140,35,1
29,81,65,100,101,16,79,83,8,42,0
114,61,112,98,101,45,92,123,65,143,0
29,26,116,7,66,16,92,2,8,81,0
16,51,88,27,3,44,54,123,98,35,1
44,79,65,72,87,16,56,113,8,42,0
134,25,140,27,14,16,36,31,46,62,1
112,56,2,98,62,16,79,83,46,77,0
86,94,65,146,101,20,79,141,8,119,1
16,63,113,8,85,103,36,24,7,62,1
84,139,30,27,66,45,37,17,8,101,1
2,104,145,100,117,116,112,65,27,42,0
94,61,123,120,117,93,36,2,100,101,1
112,37,81,46,85,133,134,123,128,62,0
96,134,112,98,62,16,24,31,100,3,1
55,92,83,15,119,40,36,66,46,100,1
65,51,93,48,85,55,79,88,8,35,1
84,61,97,27,100,150,36,123,8,12,0
16,36,27,31,117,93,25,73,46,85,0
44,79,17,8,11,84,63,65,100,16,0
81,88,93,120,90,38,79,16,100,62,1
65,81,20,48,11,44,139,112,46,42,0
93,79,40,8,114,16,36,53,49,119,1
38,26,88,7,62,136,36,112,72,85,0
101,79,65,27,3,16,51,88,100,77,0
45,63,101,48,77,44,36,83,46,3,0
45,37,2,100,101,16,61,112,46,85,1
65,51,0,124,90,29,79,101,72,119,0
55,61,40,140,90,93,79,30,128,85,0
112,63,93,98,3,89,36,113,124,117,0
94,63,81,15,11,16,37,31,120,90,0
16,37,31,49,101,44,63,65,27,62,0
27,36,84,38,62,16,134,31,46,42,0
16,139,64,8,12,44,79,83,46,119,0
136,25,2,8,85,94,24,112,46,101,0
112,36,83,100,3,16,79,40,27,143,0
93,57,24,100,117,16,36,123,27,85,0
16,63,40,48,85,44,24,65,8,62,0
29,99,144,100,101,16,51,65,49,117,0
44,61,81,98,62,16,36,2,124,90,0
45,25,112,98,11,16,63,65,120,101,1
45,79,88,72,90,16,63,83,124,117,0
45,51,88,8,85,16,79,145,15,67,1
136,36,112,46,3,45,101,83,98,119,0
55,134,52,46,85,101,37,60,15,11,1
133,79,141,100,114,16,103,105,72,143,0
140,36,66,98,119,136,26,40,49,85,0
40,25,112,100,62,29,57,66,27,117,0
2,57,83,120,117,93,36,123,49,119,1
65,112,93,48,101,17,57,83,100,90,0
16,51,66,46,62,29,134,112,8,101,0
134,54,148,128,77,70,36,9,27,11,0
93,63,88,100,3,32,79,112,46,42,1
29,63,31,65,85,103,36,81,127,114,0
40,63,93,48,42,117,57,31,27,11,0
66,61,17,46,101,112,36,55,100,87,0
84,24,65,46,77,93,79,17,120,117,0
66,101,60,46,70,55,36,81,48,87,0
45,139,83,49,103,16,36,31,98,77,1
101,36,2,72,90,112,61,65,124,117,0
66,139,133,140,85,45,51,123,27,62,0
45,63,40,7,119,113,61,16,27,100,1
66,61,112,72,119,16,57,83,48,77,1
68,36,60,127,14,45,139,30,8,85,0
93,28,120,46,85,112,57,146,127,117,0
101,36,112,115,85,16,63,0,120,117,0
55,37,113,46,85,65,79,66,98,62,0
84,134,112,72,119,101,36,123,7,103,1
44,36,83,46,11,16,63,141,8,101,0
29,54,123,98,3,101,63,16,128,42,0
112,139,31,98,62,16,79,96,8,85,0
45,54,83,115,35,17,61,31,8,101,0
44,36,112,124,90,32,57,148,98,101,1
32,57,81,47,119,93,36,112,27,11,0
45,36,52,140,3,136,92,53,98,77,1
112,36,60,128,3,44,61,52,8,99,0
29,61,112,124,90,133,79,88,46,85,0
66,36,83,140,87,65,61,2,100,14,0
16,25,31,100,114,29,36,148,72,11,0
0,57,30,8,90,2,36,112,23,62,1
103,54,52,98,62,16,36,2,120,115,0
101,51,112,124,117,70,37,83,140,35,1
16,101,24,48,62,29,79,30,72,77,0
93,36,31,27,50,0,139,112,48,3,0
103,79,65,46,114,16,36,123,100,101,0
44,51,2,8,11,16,63,65,27,143,1
66,36,31,8,35,16,54,112,46,85,0
0,36,31,65,101,70,57,112,94,110,0
93,79,40,8,77,32,139,83,124,90,0
93,81,97,113,85,101,51,148,100,117,0
16,79,31,27,143,45,63,40,46,67,0
91,74,141,8,118,133,61,66,46,119,0
93,25,2,46,77,73,79,88,27,101,0
44,37,123,46,119,16,79,24,8,114,0
44,115,83,72,77,55,134,16,65,85,1
44,63,93,49,90,16,36,30,23,62,0
45,51,144,46,90,2,28,80,100,85,0
81,88,93,120,90,38,79,16,100,62,1
16,101,24,8,100,55,134,31,46,62,0
29,134,112,65,42,49,25,16,8,3,1
103,37,97,8,62,112,61,113,48,77,1
40,24,45,50,110,68,51,116,8,85,0
115,36,66,140,101,70,57,2,65,14,0
45,79,88,72,90,16,63,83,124,117,0
66,57,16,72,11,17,36,81,8,103,0
16,36,31,7,85,27,79,40,45,119,1
65,79,24,46,77,136,61,113,27,119,1
40,79,93,72,85,45,24,101,27,119,1
2,61,31,27,101,16,37,30,113,3,0
16,63,112,8,101,83,28,93,46,103,0
29,99,144,100,101,16,51,65,49,117,0
73,37,83,49,3,16,63,30,27,101,0
55,36,31,27,11,103,139,112,72,12,0
103,56,60,8,85,32,37,148,46,11,0
101,104,45,8,3,65,51,112,7,119,0
93,36,52,8,101,89,79,123,15,74,0
93,36,112,124,90,32,139,31,100,62,1
93,36,31,7,62,45,37,83,27,77,0
45,36,112,15,74,16,61,31,46,87,1
45,79,112,49,119,16,24,141,72,103,0
73,37,83,49,3,16,63,30,27,101,0
45,24,112,46,11,68,61,83,27,67,0
84,24,65,46,77,93,79,17,120,117,0
32,61,10,8,85,93,112,140,46,103,0
45,36,112,15,74,16,61,31,46,87,1
29,28,19,100,114,93,36,31,7,101,0
16,54,55,27,11,44,63,24,100,119,0
134,36,31,72,62,93,37,83,124,90,0
112,61,2,46,103,134,115,83,8,87,1
16,36,148,72,138,134,61,83,27,62,1
16,63,145,46,101,45,79,136,27,14,0
134,51,40,8,3,16,24,31,100,87,0
44,36,112,124,90,32,57,148,98,101,1
16,61,123,15,119,38,139,31,27,77,0
44,28,101,49,119,16,36,2,100,3,1
84,57,31,133,143,0,139,83,27,101,0
45,63,24,98,74,20,25,65,27,11,0
134,51,101,124,90,93,115,40,46,50,1
55,36,31,27,11,103,139,112,72,12,0
16,79,30,120,3,66,61,65,98,62,1
29,37,112,8,62,45,104,123,140,90,0
93,79,40,8,77,32,139,83,124,90,0
46,37,113,65,85,40,63,83,48,90,0
29,79,31,100,35,2,139,141,27,90,0
44,51,123,46,3,16,61,2,48,87,1
65,79,24,46,85,45,63,83,94,110,0
134,36,148,46,11,93,79,52,100,114,0
112,79,65,48,87,16,63,40,111,85,1
86,139,112,98,117,128,134,30,120,3,0
66,63,65,48,119,136,57,105,27,42,0
45,79,88,72,90,16,63,83,124,117,0
86,57,83,8,114,60,36,2,15,11,0
52,112,134,46,119,93,51,83,15,74,0
45,79,2,100,114,40,61,148,98,62,0
86,79,101,124,90,16,36,123,49,77,1
32,139,2,15,62,96,79,88,72,101,0
44,81,98,115,85,126,139,30,140,90,0
93,51,65,8,12,44,63,148,15,67,0
93,36,112,124,90,32,139,31,100,62,1
45,43,17,48,101,68,36,65,8,42,0
16,139,2,27,11,44,79,148,46,119,1
134,36,60,27,87,55,101,16,48,77,1
24,79,45,7,62,55,134,65,124,90,0
16,24,88,27,11,93,36,96,72,42,0
16,25,30,65,85,44,36,2,72,62,1
44,112,147,46,119,105,134,24,8,74,0
134,36,31,72,62,93,37,83,124,90,0
97,43,112,49,85,29,63,40,98,101,0
32,61,112,27,16,65,25,134,48,87,1
84,36,2,27,87,123,139,115,65,101,1
16,51,64,48,119,73,79,88,72,3,0
16,54,60,27,85,93,56,30,8,62,0
16,115,105,140,35,40,79,88,2,62,0
134,51,101,124,90,93,115,40,46,50,1
16,36,123,27,14,135,61,2,8,101,0
44,92,31,46,16,134,57,17,27,101,1
16,57,31,7,110,29,36,148,27,50,1
45,61,52,72,103,83,79,32,7,119,1
16,36,66,124,90,93,139,30,48,77,0
2,57,140,46,117,103,36,31,65,85,0
134,36,148,46,11,93,79,52,100,114,0
84,63,16,27,101,112,139,93,65,143,0
70,37,112,100,114,103,51,97,8,85,0
16,36,112,46,77,141,63,65,72,62,1
136,94,30,146,86,112,101,52,65,85,1
86,79,101,124,90,16,36,123,49,77,1
16,36,17,49,85,55,139,112,72,114,0
16,63,113,8,85,103,36,24,7,62,0
29,63,40,72,85,16,51,65,15,103,1
65,61,30,46,85,40,79,145,15,11,1
24,79,45,7,62,55,134,65,124,90,0
16,139,148,8,101,103,36,113,72,117,0
16,57,2,15,67,93,79,112,27,50,1
93,36,112,27,101,44,61,83,98,85,0
16,63,103,48,101,40,26,44,46,62,1
93,92,31,46,3,16,24,141,27,119,0
44,36,83,46,11,16,63,141,8,101,0
113,36,70,72,103,17,61,112,46,42,0
89,43,40,146,144,93,79,148,65,74,1
65,63,66,72,103,32,61,112,7,62,0
123,134,93,98,77,32,79,88,15,70,0
93,36,112,7,14,32,61,2,8,42,0
144,54,148,100,101,150,56,112,27,86,0
93,57,24,100,117,16,36,123,27,85,0
16,25,141,98,35,2,36,112,140,3,0
16,36,123,27,77,2,79,88,7,70,0
93,63,81,46,42,112,36,141,8,101,1
93,54,9,27,42,16,79,65,57,119,1
66,36,140,100,14,65,101,83,8,85,0
45,79,112,49,119,16,24,141,72,103,0
93,63,101,27,85,65,28,16,46,35,0
93,139,2,46,42,29,36,31,7,101,1
16,92,115,72,14,84,61,123,48,11,0
66,79,140,48,101,65,61,113,46,3,0
86,61,112,8,103,73,36,65,72,35,0
112,57,31,8,90,101,36,66,46,85,0
68,35,140,8,14,103,82,2,46,62,0
134,36,83,8,42,93,79,2,49,119,1
93,79,31,27,42,16,25,101,46,50,0
16,57,31,27,90,45,36,123,115,62,0
40,63,113,8,119,55,79,65,46,101,0
101,36,2,46,130,66,139,148,70,100,0
16,63,40,8,114,55,36,2,48,77,0
103,36,2,46,101,134,61,83,100,119,1
0,63,116,17,119,103,36,2,46,12,0
65,25,112,49,119,93,51,101,127,14,0
70,37,116,115,119,45,139,2,8,87,0
84,79,40,7,119,93,37,38,98,101,0
17,36,113,65,101,140,28,144,98,35,0
101,36,113,48,87,66,63,65,46,3,0
44,79,31,8,87,16,51,112,49,74,0
40,63,29,127,50,16,41,80,46,101,0
97,61,2,100,103,32,92,148,46,62,0
101,36,17,134,85,93,115,112,8,114,0
66,36,140,100,14,65,101,83,8,85,0
84,36,31,100,117,93,63,116,27,62,1
16,79,141,15,67,45,139,112,46,85,1
66,36,140,46,3,97,134,112,98,101,0
44,25,40,8,119,32,63,65,27,11,0
44,56,113,98,77,103,36,123,140,3,0
66,79,140,48,101,65,61,113,46,3,0
66,61,2,27,143,133,36,31,15,11,0
112,24,16,48,119,2,61,123,27,3,0
16,57,2,15,67,93,79,112,27,50,1
16,63,93,124,66,2,51,88,46,70,0
44,36,66,146,85,93,139,83,7,3,0
16,36,52,100,11,134,79,32,8,119,0
134,54,83,100,114,93,37,31,8,101,0
136,51,148,49,77,45,35,140,27,11,0
66,57,148,27,117,16,36,31,100,110,0
112,61,65,48,119,101,36,17,72,62,0
93,36,112,27,101,44,61,83,98,85,0
45,57,60,8,101,44,36,148,27,62,0
65,61,148,27,87,136,36,24,137,90,0
65,61,2,100,101,32,36,31,46,119,0
93,79,40,8,77,32,139,83,124,90,0
115,36,66,140,101,70,57,2,65,14,0
134,115,141,98,101,44,63,66,27,100,0
101,36,2,46,130,66,139,148,70,100,0
32,51,52,46,119,112,37,65,27,101,1
101,25,16,46,85,44,36,2,100,62,0
45,79,88,49,85,44,139,2,17,3,1
16,63,2,72,50,66,36,17,46,77,0
32,36,52,27,11,103,54,113,46,119,0
126,36,123,15,66,40,57,148,100,101,0
112,101,148,46,62,84,24,140,8,117,0
134,36,113,15,74,93,63,112,72,62,1
55,37,112,100,119,2,134,148,8,101,0
16,63,83,46,42,93,36,2,27,75,1
44,79,65,8,101,66,61,46,148,62,0
16,36,78,48,3,44,54,123,65,119,0
65,25,93,8,85,68,36,96,72,16,0
45,36,52,8,119,93,57,148,27,50,0
84,24,88,100,77,101,36,60,46,119,0
134,36,24,48,62,93,79,113,27,3,0
31,54,97,46,62,16,63,148,100,85,1
45,36,115,100,14,40,57,31,8,90,0
144,35,140,48,101,0,63,2,27,119,0
16,36,112,46,77,141,63,65,72,62,1
101,57,31,8,62,16,115,148,100,77,1
93,36,24,46,101,32,61,83,7,42,0
29,134,123,100,114,93,79,31,48,101,0
93,24,112,8,100,89,63,43,140,87,0
2,61,65,100,101,93,79,141,46,11,0
65,79,24,46,77,136,61,113,27,119,0
2,61,24,98,77,101,139,112,94,41,0
66,139,2,98,77,16,37,83,100,11,0
84,134,112,46,85,94,37,81,8,119,1
101,36,17,134,85,93,115,112,8,114,0
44,61,97,98,117,66,51,40,100,101,0
40,36,148,137,90,16,63,45,46,77,0
84,36,2,27,87,123,139,115,65,101,0
93,63,81,46,42,112,36,141,8,101,1
126,63,40,46,101,66,36,83,72,119,0
101,51,84,124,42,44,36,30,23,90,0
134,79,1,46,85,93,25,141,48,101,0
84,36,83,101,67,112,61,31,98,62,0
44,36,112,124,90,32,57,148,98,101,0
16,36,112,46,42,84,57,148,8,119,0
45,36,83,100,114,40,63,123,46,85,0
136,63,123,46,35,16,139,2,15,11,0
65,36,73,100,3,94,63,81,27,101,1
44,56,113,98,77,103,36,123,140,3,0
2,57,140,46,117,103,36,31,65,85,0
16,36,83,27,110,68,61,132,46,11,0
29,54,123,98,3,101,63,16,128,42,1
93,139,2,46,42,29,36,31,7,101,1
32,101,2,46,11,40,35,83,15,90,0
16,51,30,27,143,44,24,116,46,110,1
16,25,141,27,62,66,37,2,7,85,0
16,63,30,46,90,101,36,31,27,11,1
70,36,112,65,85,134,63,45,46,101,1
112,101,148,46,62,84,24,140,8,117,1
37,36,78,8,117,93,57,31,46,90,0
105,57,112,46,11,2,61,17,100,119,0
96,36,113,46,90,101,63,65,128,14,0
